City,Restaurant,Rating
Cincinnati,Taco Bell Highland Ave,3
Cincinnati,Taco Bell Gest St,3.1
Cincinnati,Taco Bell Hamilton Ave,3.1
Cincinnati,Taco Bell Red Bank St,3.3
Cincinnati,Taco Bell Reading Rd,3.5
Cincinnati,Taco Bell Delhi Dr,3.3
Cincinnati,Taco Bell Glenway Ave,3.1
Cincinnati,Taco Bell Colerain Ave,3.1
Cincinnati,Wendys William Howard Taft,3.2
Cincinnati,Wendys Ridge Ave,3.5
Cincinnati,Wendys Hopple St,3.1
Cincinnati,Wendys Gest St,3.4
Cincinnati,Wendys Red Bank Ave,2.9
Cincinnati,Wendys Vine St,3
Cincinnati,Wendys Galbraith Rd,3.2
Cincinnati,Wendys Glenway Ave,3
Cincinnati,Wendys N Bend Rd,3.1
Cincinnati,Wendys Beechmont Ave,3.2
Cincinnati,Wendys Delhi Rd,3.3
Cincinnati,MCD E McMillan St,3.4
Cincinnati,MCD Martin Luther King Blvd,3.3
Cincinnati,MCD Paxton Ave,3.4
Cincinnati,MCD W Mitchell Ave,3.2
Cincinnati,MCD Reading Rd,3.4
Cincinnati,MCD Ridge Ave,3.3
Cincinnati,MCD W North Bend Rd,3.4
Cincinnati,MCD Hamilton Ave,3.3
Cincinnati,MCD Warsaw Ave,2.9
Cincinnati,MCD Glenway Ave (1),2.8
Cincinnati,MCD Glenway AVE (2),3.1
Cincinnati,MCD Delhi Rd,2.8
Cincinnati,MCD N Bend Rd,3.3
Cincinnati,MCD Kibby Ln,3.5
Cincinnati,Skyline McMillan,4.4
Cincinnati,Skyline Ludlow,4.5
Cincinnati,Skyline 4th St,4.4
Cincinnati,Skyline Vine St,4.4
Cincinnati,Skyline Montgomery ,4.4
Charleston,Taco Bell Wash St E,3.9
Charleston,Taco Bell MacCorkle (1),3.8
Charleston,Taco Bell 3rd Ave,3.8
Charleston,Taco Bell MacCorkle (2),3.8
Charleston,Taco Bell MacCorkle (3),3.8
Charleston,Taco Bell SC,3.9
Charleston,Wendys Virginia St,3.8
Charleston,Wendys Wash St W,3.8
Charleston,Wendys Wash St E,3.8
Charleston,Wendys MacCorkle (1),4
Charleston,Wendys SC (1),3.8
Charleston,Wendys SC (2),3.7
Charleston,Wendys Clearview,4
Charleston,McDonalds MacCorkle,3.5
Charleston,McDonalds Wash St E,3.3
Charleston,McDonalds MacCorkle (2),3.5
Charleston,McDonalds SC,3.2
Charleston,McDonalds SC (2),3.4
Charleston,Tudors Lee St,4.2
Charleston,Tudors Wash St E,4.2
Charleston,Tudors 50th St E,4.2
Charleston,Tudors Kanawha Blvd E,4.2
Charleston,Tudors MacCorkle,4.4
